Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE
Lowest Temperature,04/1960,Valentia Observatory,Degrees C,2.3
Lowest Temperature,04/1960,Casement,Degrees C,0
Lowest Temperature,04/1960,Claremorris,Degrees C,-0.5
Lowest Temperature,04/1960,Clones,Degrees C,0.1
Lowest Temperature,04/1960,Cork airport,Degrees C,0
Lowest Temperature,04/1960,Dublin airport,Degrees C,0.6
Lowest Temperature,04/1960,Galway,Degrees C,0
Lowest Temperature,04/1960,Kilkenny,Degrees C,-1.5
Lowest Temperature,04/1960,Malin head,Degrees C,2.4
Lowest Temperature,04/1960,Mullingar,Degrees C,1
Lowest Temperature,04/1960,Roches Point,Degrees C,3.6
Lowest Temperature,04/1960,Rosslare,Degrees C,3.3
Lowest Temperature,04/1960,Shannon airport,Degrees C,-0.6
Lowest Temperature,05/1960,Belmullet,Degrees C,2.6
Lowest Temperature,05/1960,Birr,Degrees C,1.7
Lowest Temperature,05/1960,Valentia Observatory,Degrees C,2.2
Lowest Temperature,05/1960,Casement,Degrees C,0
Lowest Temperature,05/1960,Claremorris,Degrees C,1.9
Lowest Temperature,05/1960,Clones,Degrees C,2.8
Lowest Temperature,05/1960,Cork airport,Degrees C,0
Lowest Temperature,05/1960,Dublin airport,Degrees C,4.8
Lowest Temperature,05/1960,Galway,Degrees C,0
Lowest Temperature,05/1960,Kilkenny,Degrees C,0.4
Lowest Temperature,05/1960,Malin head,Degrees C,2.4
Lowest Temperature,05/1960,Mullingar,Degrees C,2.9
Lowest Temperature,05/1960,Roches Point,Degrees C,6.6
Lowest Temperature,05/1960,Rosslare,Degrees C,3.9
Lowest Temperature,05/1960,Shannon airport,Degrees C,3.1
Lowest Temperature,06/1960,Belmullet,Degrees C,6.6
Lowest Temperature,06/1960,Birr,Degrees C,3.4
Lowest Temperature,06/1960,Valentia Observatory,Degrees C,7.8
Lowest Temperature,06/1960,Casement,Degrees C,0
Lowest Temperature,06/1960,Claremorris,Degrees C,4.9
Lowest Temperature,06/1960,Clones,Degrees C,4
Lowest Temperature,06/1960,Cork airport,Degrees C,0
Lowest Temperature,06/1960,Dublin airport,Degrees C,6.1
Lowest Temperature,06/1960,Galway,Degrees C,0
Lowest Temperature,06/1960,Kilkenny,Degrees C,3.9
Lowest Temperature,06/1960,Malin head,Degrees C,7.6
Lowest Temperature,06/1960,Mullingar,Degrees C,6
Lowest Temperature,06/1960,Roches Point,Degrees C,7.6
Lowest Temperature,06/1960,Rosslare,Degrees C,7.6
Lowest Temperature,06/1960,Shannon airport,Degrees C,5.6
Lowest Temperature,07/1960,Belmullet,Degrees C,7.9
Lowest Temperature,07/1960,Birr,Degrees C,6.2
Lowest Temperature,07/1960,Valentia Observatory,Degrees C,8.4
Lowest Temperature,07/1960,Casement,Degrees C,0
Lowest Temperature,07/1960,Claremorris,Degrees C,6.4
Lowest Temperature,07/1960,Clones,Degrees C,6.2
Lowest Temperature,07/1960,Cork airport,Degrees C,0
Lowest Temperature,07/1960,Dublin airport,Degrees C,8.2
Lowest Temperature,07/1960,Galway,Degrees C,0
Lowest Temperature,07/1960,Kilkenny,Degrees C,6.5
Lowest Temperature,07/1960,Malin head,Degrees C,8.3
Lowest Temperature,07/1960,Mullingar,Degrees C,7.4
Lowest Temperature,07/1960,Roches Point,Degrees C,8.9
Lowest Temperature,07/1960,Rosslare,Degrees C,9.2
Lowest Temperature,07/1960,Shannon airport,Degrees C,7.7
Lowest Temperature,08/1960,Belmullet,Degrees C,5.2
Lowest Temperature,08/1960,Birr,Degrees C,3.6
